rfid_tag_id,reader_id,timestamp,beer_id,beer_name,tap_name
0008820996,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:37:52 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0013329579,c9f9b211f41398cb73a2e3e41ad8d15a,2013-03-09 23:35:33 -0800,f2f074eb0297032cf10dce288f51f343,Bexley's Porter,Indoor Tap 4
0008820442,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:35:25 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0008822049,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:33:57 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0008820495,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:32:37 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0008820677,c9f9b211f41398cb73a2e3e41ad8d15a,2013-03-09 23:31:10 -0800,f2f074eb0297032cf10dce288f51f343,Bexley's Porter,Indoor Tap 4
0008821132,c9f9b211f41398cb73a2e3e41ad8c899,2013-03-09 23:30:33 -0800,f2f074eb0297032cf10dce288f52472c,Belgian Porter,Indoor Tap 6
"",c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:30:20 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0009537160,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:29:52 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
00000000,c9f9b211f41398cb73a2e3e41ad8d15a,2013-03-09 23:29:25 -0800,f2f074eb0297032cf10dce288f51f343,Bexley's Porter,Indoor Tap 4
0013331072,c9f9b211f41398cb73a2e3e41ad8dd30,2013-03-09 23:27:06 -0800,c9f9b211f41398cb73a2e3e41af42b06,Leggy Blonde,Indoor Tap 2
0008821014,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:26:31 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0008820449,c9f9b211f41398cb73a2e3e41ad8d15a,2013-03-09 23:24:00 -0800,f2f074eb0297032cf10dce288f51f343,Bexley's Porter,Indoor Tap 4
0008821455,c9f9b211f41398cb73a2e3e41ad8c899,2013-03-09 23:21:11 -0800,f2f074eb0297032cf10dce288f52472c,Belgian Porter,Indoor Tap 6
0008820169,c9f9b211f41398cb73a2e3e41ad8dd30,2013-03-09 23:19:36 -0800,c9f9b211f41398cb73a2e3e41af42b06,Leggy Blonde,Indoor Tap 2
0008820724,c9f9b211f41398cb73a2e3e41ad8d15a,2013-03-09 23:19:04 -0800,f2f074eb0297032cf10dce288f51f343,Bexley's Porter,Indoor Tap 4
0008820766,c9f9b211f41398cb73a2e3e41ad8da00,2013-03-09 23:18:22 -0800,c9f9b211f41398cb73a2e3e41afa5b27,Todd Rungren Rye-Saison,Indoor Tap 3
0008822049,c9f9b211f41398cb73a2e3e41ad8d0ce,2013-03-09 23:16:32 -0800,f2f074eb0297032cf10dce288f51f9bb,The Skeptic Red IPA,Indoor Tap 5
